OTUId	C7.3	E4.6	G8.5	C7.4	E4.1	E4.8	E4.3	E4.2	E4.4	C7.5	G8.1	G8.4	C7.2	E4.9	C7.1	E4.7	G8.3	E4.10	E4.5	G8.2
OTU_1221;size=7;	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
OTU_734;size=37;	1	0	0	1	0	0	1	0	0	49	1	0	0	0	0	0	1	0	0	0
OTU_1490;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU_1207;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0
OTU_750;size=38;	0	0	0	1	0	0	0	0	0	1	0	1	0	0	74	0	1	0	0	0
OTU_828;size=39;	0	0	1	0	0	0	0	0	0	0	0	0	0	62	0	2	0	2	0	0
OTU_596;size=59;	0	0	0	0	0	0	1	0	0	96	0	0	0	0	0	2	1	0	0	0
OTU_495;size=152;	1	0	0	0	0	0	0	0	0	243	1	0	0	0	0	1	0	0	0	0
OTU_557;size=61;	0	0	0	2	1	0	0	0	86	0	0	0	0	0	0	0	0	1	1	0
OTU_782;size=61;	40	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	1	0	0
OTU_1038;size=13;	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
OTU_1287;size=5;	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
OTU_563;size=60;	0	1	0	0	0	0	0	1	0	0	0	49	46	0	0	0	0	0	0	0
OTU_916;size=30;	0	3	6	1	8	1	2	7	3	4	3	3	1	0	7	3	1	1	0	0
OTU_1155;size=11;	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	20	0
OTU_1123;size=10;	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
OTU_1129;size=10;	0	0	0	0	0	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0
OTU_702;size=39;	0	0	1	0	1	0	0	1	0	0	63	0	0	0	0	0	1	0	0	1
OTU_908;size=20;	0	0	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1203;size=11;	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU_1399;size=6;	0	7	1	0	31	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_1084;size=15;	0	0	0	1	0	0	1	0	0	14	0	1	1	0	2	2	0	1	0	0
OTU_1278;size=10;	0	0	0	0	0	0	8	0	0	0	0	0	4	1	0	0	0	0	0	4
OTU_1094;size=11;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	22	0	0
OTU_1224;size=14;	0	0	1	0	0	0	0	29	0	0	0	1	11	0	0	0	0	0	0	0
OTU_499;size=76;	0	1	0	0	0	0	0	1	0	0	0	114	1	0	0	0	0	0	0	0
OTU_909;size=20;	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	29	1	0	0
OTU_831;size=28;	0	1	0	30	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	0
OTU_764;size=34;	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
OTU_780;size=35;	1	0	0	0	0	0	0	0	0	0	0	1	0	0	73	0	0	0	0	0
OTU_937;size=19;	0	0	0	1	0	0	0	0	0	1	0	1	38	0	0	0	0	0	0	0
OTU_1062;size=12;	0	0	19	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_1012;size=22;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	38	1	0	0	0
OTU_454;size=105;	0	0	1	1	0	2	0	0	96	61	3	1	0	0	0	2	1	0	0	0
OTU_475;size=92;	0	0	1	2	0	0	1	0	0	0	1	0	0	0	1	0	129	0	1	1
OTU_622;size=53;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0
OTU_592;size=55;	0	0	74	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
OTU_1128;size=12;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	26	0
OTU_1302;size=9;	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
OTU_880;size=22;	0	0	0	39	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1289;size=5;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0
OTU_807;size=28;	1	0	0	1	0	0	0	1	0	0	0	0	0	53	0	0	0	0	0	0
OTU_1127;size=15;	1	0	0	10	1	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0
OTU_1092;size=13;	20	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU_1053;size=17;	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
OTU_945;size=22;	0	0	32	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_884;size=26;	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	46	0	0	0
OTU_806;size=28;	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	1	0	0	0
OTU_864;size=30;	0	0	1	4	0	0	0	3	2	2	0	0	0	0	23	0	1	1	1	4
OTU_1098;size=11;	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
OTU_685;size=43;	0	0	0	1	1	0	0	0	0	0	0	70	0	0	0	0	1	0	0	0
OTU_1537;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU_1529;size=2;	4	1	1	1	3	0	1	4	2	3	0	2	1	2	1	0	1	7	0	1
OTU_888;size=22;	1	0	0	1	0	0	0	0	0	0	0	0	0	0	30	0	0	2	0	0
OTU_1520;size=6;	0	8	10	3	1	1	0	0	10	0	5	6	0	0	27	7	0	1	2	2
OTU_662;size=47;	0	0	0	0	0	0	1	8	0	0	59	0	1	1	0	1	0	0	0	1
OTU_1225;size=12;	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU_585;size=56;	0	0	84	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0
OTU_1131;size=10;	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
OTU_769;size=43;	0	0	0	0	0	0	2	0	0	0	1	0	20	47	1	0	1	0	0	0
OTU_710;size=44;	2	0	0	0	0	0	0	0	0	65	0	0	0	0	0	1	0	0	0	0
OTU_1200;size=7;	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_1231;size=24;	0	3	0	0	0	0	2	67	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1197;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
OTU_963;size=17;	0	0	32	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
OTU_999;size=15;	0	0	0	0	0	0	0	0	11	0	0	0	0	6	0	3	0	0	0	0
OTU_1311;size=7;	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_1060;size=14;	8	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1543;size=4;	0	4	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0
OTU_695;size=39;	0	1	1	64	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1199;size=7;	0	0	0	0	3	0	0	0	0	3	0	0	0	0	1	4	0	0	0	0
OTU_1141;size=9;	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
OTU_1443;size=3;	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
OTU_1285;size=5;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
OTU_1408;size=5;	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1108;size=14;	0	0	0	0	0	0	0	0	0	0	9	0	0	0	17	0	0	0	0	0
OTU_838;size=25;	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_934;size=21;	0	0	32	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1122;size=10;	0	11	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_803;size=32;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	47	1
OTU_600;size=69;	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	103	0
OTU_743;size=39;	0	0	1	0	0	0	58	0	0	2	1	0	0	0	0	0	0	0	0	0
OTU_1213;size=7;	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
OTU_1516;size=2;	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	40	0	0
OTU_736;size=35;	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1404;size=3;	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_488;size=82;	1	0	0	0	0	0	0	0	134	1	0	0	0	0	0	1	2	2	0	1
OTU_1219;size=9;	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1088;size=11;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
OTU_790;size=31;	0	0	0	0	24	0	0	0	0	0	1	0	0	16	4	0	1	0	1	1
OTU_1167;size=9;	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5
OTU_927;size=47;	0	22	0	0	0	1	0	0	0	0	23	3	14	0	0	0	1	0	0	0
OTU_918;size=24;	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
OTU_663;size=47;	0	0	0	0	0	0	0	66	1	0	1	0	0	0	0	0	0	0	0	1
OTU_1006;size=31;	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	19	0	28	0
OTU_961;size=17;	0	0	0	1	0	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0
OTU_907;size=22;	0	0	0	2	1	1	0	0	0	0	0	0	0	0	39	0	0	0	0	0
OTU_1214;size=9;	0	15	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0
OTU_1263;size=5;	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1378;size=3;	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_970;size=17;	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	1	0	0	0	0
OTU_1204;size=9;	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	1	0	0
OTU_856;size=28;	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	34
OTU_756;size=66;	0	1	0	0	0	0	0	0	0	0	0	109	0	0	1	0	0	0	0	0
OTU_858;size=27;	0	1	0	60	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
OTU_1070;size=14;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
OTU_1275;size=5;	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
OTU_1085;size=11;	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0
OTU_1061;size=16;	0	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0
OTU_644;size=52;	0	0	0	0	0	0	1	0	13	0	0	0	0	68	0	0	0	0	0	0
OTU_1049;size=15;	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1019;size=14;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
OTU_696;size=45;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	67	0	0	0	0
OTU_1276;size=5;	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6
OTU_1298;size=5;	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0
OTU_752;size=36;	0	0	0	0	51	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU_906;size=27;	0	0	0	0	5	0	0	0	5	4	9	8	0	0	4	0	0	3	0	0
OTU_878;size=32;	40	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
OTU_902;size=26;	0	0	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_707;size=38;	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	1	0	0	1
OTU_1162;size=9;	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_658;size=50;	0	0	1	78	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
OTU_793;size=33;	5	0	42	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
OTU_1059;size=16;	25	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1039;size=16;	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	1	0
OTU_1042;size=13;	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_525;size=71;	0	0	102	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0
OTU_1083;size=23;	0	5	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	5	13
OTU_885;size=25;	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	36	0
OTU_1365;size=6;	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
OTU_688;size=40;	2	59	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
OTU_1171;size=13;	0	0	0	0	0	0	0	0	1	0	1	1	0	0	22	0	0	0	0	0
OTU_1017;size=14;	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
OTU_1556;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10
OTU_1121;size=10;	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
OTU_853;size=29;	0	0	0	0	1	0	7	1	0	47	0	1	0	0	0	0	0	0	0	0
OTU_1210;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
OTU_854;size=24;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47
OTU_794;size=39;	0	0	0	0	0	0	0	0	0	0	43	14	0	0	0	1	0	0	0	1
OTU_859;size=34;	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	51	0
OTU_785;size=46;	0	0	0	0	0	0	0	16	9	0	0	33	0	0	0	0	1	0	0	1
OTU_1366;size=4;	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_716;size=44;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0
OTU_958;size=19;	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0
OTU_1051;size=21;	0	0	0	0	0	0	0	0	0	0	36	0	0	0	2	0	0	0	0	0
OTU_982;size=18;	0	0	0	0	0	0	1	0	0	0	0	0	0	1	35	0	0	0	0	0
OTU_840;size=25;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0
OTU_1168;size=17;	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
OTU_1542;size=4;	0	2	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	3	0
OTU_1567;size=2;	23	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1561;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0
OTU_1239;size=10;	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
OTU_1591;size=2;	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0
OTU_1568;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
OTU_1078;size=19;	0	29	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU_1333;size=17;	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_766;size=41;	0	0	0	1	0	0	77	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_1288;size=5;	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1154;size=9;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
OTU_989;size=16;	0	0	0	0	1	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0
OTU_1045;size=16;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
OTU_1338;size=4;	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0
OTU_984;size=19;	0	0	0	0	0	0	0	24	0	0	0	0	17	0	0	0	0	0	0	0
OTU_697;size=41;	0	0	0	1	0	0	0	1	1	67	0	0	1	0	0	0	0	0	0	0
OTU_1337;size=6;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
OTU_1179;size=22;	1	0	0	0	1	0	6	0	0	0	0	0	0	0	8	2	3	9	0	4
OTU_1394;size=3;	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0
OTU_877;size=31;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
OTU_1589;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
OTU_1103;size=18;	0	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
OTU_1563;size=2;	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_767;size=44;	0	0	1	0	0	0	0	0	1	0	0	0	0	0	66	0	0	0	0	0
OTU_1148;size=9;	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	1	0	0	0	0
OTU_1031;size=14;	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
OTU_833;size=26;	0	0	0	1	0	0	35	1	0	1	0	0	0	0	0	1	0	0	0	0
OTU_1327;size=4;	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0
OTU_1202;size=7;	0	0	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0
OTU_739;size=37;	41	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	19	0
OTU_1328;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
OTU_1216;size=7;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0
OTU_1115;size=10;	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	1
OTU_1353;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
OTU_1160;size=9;	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_558;size=59;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0
OTU_1102;size=11;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
OTU_797;size=36;	1	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_959;size=17;	0	31	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0
OTU_1195;size=7;	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1436;size=5;	1	0	0	0	0	0	4	0	1	1	3	0	0	0	0	1	0	0	0	0
OTU_1189;size=8;	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_983;size=30;	0	0	0	0	0	0	0	0	0	41	0	2	0	0	0	0	0	0	0	0
OTU_900;size=23;	0	0	11	0	2	0	4	0	2	0	1	0	0	4	1	0	0	0	2	0
OTU_1427;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
OTU_1227;size=13;	0	4	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14
OTU_1137;size=12;	0	0	0	0	0	2	0	0	0	0	19	0	0	0	0	0	0	0	0	0
OTU_799;size=43;	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	73
OTU_822;size=29;	1	0	41	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1508;size=48;	0	0	1	0	0	1	2	0	5	0	0	7	0	2	5	1	0	2	6	0
OTU_1344;size=4;	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1497;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU_1269;size=5;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
OTU_1011;size=17;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
OTU_1080;size=12;	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
OTU_1187;size=12;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
OTU_1382;size=6;	1	1	3	0	1	0	0	0	1	12	0	0	0	10	0	0	0	0	0	0
OTU_1150;size=9;	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
OTU_1262;size=6;	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1035;size=17;	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	28	0	0	0
OTU_1010;size=15;	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1182;size=8;	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
OTU_996;size=15;	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
OTU_1447;size=3;	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1068;size=12;	0	1	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
OTU_1370;size=4;	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1343;size=7;	0	0	0	0	8	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0
OTU_1222;size=7;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0
OTU_1499;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_1230;size=6;	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1016;size=18;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0
OTU_1416;size=5;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
OTU_1317;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
OTU_1198;size=7;	0	0	0	0	0	0	0	1	0	0	15	0	0	0	1	0	0	0	0	0
OTU_1145;size=12;	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0
OTU_1089;size=11;	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1
OTU_914;size=24;	0	0	5	3	5	0	5	7	4	1	0	1	0	4	4	0	0	1	1	0
OTU_967;size=22;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
OTU_1163;size=9;	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
OTU_1181;size=8;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
OTU_1434;size=3;	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1026;size=14;	0	0	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0
OTU_1241;size=10;	0	0	0	0	1	0	0	0	0	5	0	0	0	1	8	0	0	0	0	0
OTU_1388;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU_1192;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0
OTU_883;size=31;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
OTU_899;size=23;	0	0	0	0	0	0	0	0	0	38	0	0	0	0	2	0	0	0	0	0
OTU_1595;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
OTU_1571;size=2;	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	53
OTU_1245;size=11;	0	0	0	0	0	8	0	0	0	0	0	0	13	0	0	0	0	0	0	0
OTU_1395;size=3;	0	0	0	0	0	0	0	0	0	6	0	0	1	0	1	0	1	0	0	0
OTU_1249;size=6;	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
OTU_811;size=28;	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
OTU_1444;size=3;	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_986;size=16;	0	0	0	0	0	0	0	0	0	1	0	0	1	0	28	0	0	0	0	0
OTU_1130;size=10;	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1056;size=13;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
OTU_1220;size=7;	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_1259;size=6;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
OTU_1066;size=12;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16
OTU_1488;size=2;	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU_1133;size=10;	0	2	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	8	0
OTU_1117;size=10;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
OTU_1149;size=9;	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
OTU_731;size=38;	1	0	0	1	0	0	1	0	0	0	62	0	0	0	0	0	0	0	0	0
OTU_971;size=17;	0	0	0	0	0	0	1	0	34	0	0	0	0	0	0	0	0	0	0	0
OTU_1457;size=5;	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5
OTU_1510;size=2;	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1452;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0
OTU_956;size=21;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	28
OTU_1304;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
OTU_933;size=19;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	27
OTU_875;size=22;	0	0	0	0	0	0	0	32	0	1	0	0	2	0	1	1	0	0	0	0
OTU_1138;size=10;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	11	0
OTU_1196;size=14;	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	14	0	0	0	0
OTU_1156;size=9;	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0
OTU_1320;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
OTU_962;size=20;	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
OTU_1456;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
OTU_1252;size=6;	0	0	0	0	0	0	0	1	0	0	6	0	4	0	1	0	0	0	0	0
OTU_896;size=30;	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	2	1	0	0	1
